teamname,result,date,opponent,attendence
Benidorm Thursday,1-0,05/03/2011,Millham Rovers,8979
Dedfield United,2-3,05/03/2011,Wood Green,9197
Earls Park F.C.,1-2,05/03/2011,Barnstoneworth United,10894
F.C. Mordor,2-2,05/03/2011,Ashton Athletic,6002
Fulchester United,0-2,05/03/2011,Heroes F.C.,7565
Glipton Grasshoppers,1-2,05/03/2011,Harchester United F.C.,6812
Hounslow Harriers,3-2,12/03/2011,Harchester United F.C.,7324
Heroes F.C.,0-3,12/03/2011,Glipton Grasshoppers,9087
Ashton Athletic,2-1,12/03/2011,Fulchester United,6461
Barnstoneworth United,0-2,12/03/2011,F.C. Mordor,10645
Wood Green,3-1,12/03/2011,Earls Park F.C.,11676
Millham Rovers,2-1,12/03/2011,Dedfield United,8665
Brentwich United,2-0,12/03/2011,Benidorm Thursday,6734
Benidorm Thursday,2-0,19/03/2011,Hounslow Harriers,8410
Dedfield United,2-1,19/03/2011,Brentwich United,9415
Earls Park F.C.,2-1,19/03/2011,Millham Rovers,6082
F.C. Mordor,3-0,19/03/2011,Wood Green,11449
Fulchester United,0-1,19/03/2011,Barnstoneworth United,11880
Glipton Grasshoppers,3-2,19/03/2011,Ashton Athletic,9800
Harchester United F.C.,2-0,19/03/2011,Heroes F.C.,9188
Hounslow Harriers,1-3,26/03/2011,Heroes F.C.,10254
Ashton Athletic,3-2,26/03/2011,Harchester United F.C.,8750
Barnstoneworth United,2-0,26/03/2011,Glipton Grasshoppers,7540
Wood Green,0-1,26/03/2011,Fulchester United,9357
Millham Rovers,3-0,26/03/2011,F.C. Mordor,8934
Brentwich United,3-2,26/03/2011,Earls Park F.C.,10864
Benidorm Thursday,2-2,26/03/2011,Dedfield United,6933
Dedfield United,1-3,02/04/2011,Hounslow Harriers,8344
Earls Park F.C.,3-3,02/04/2011,Benidorm Thursday,8913
F.C. Mordor,3-0,02/04/2011,Brentwich United,6611
Fulchester United,2-3,02/04/2011,Millham Rovers,10387
Glipton Grasshoppers,2-2,02/04/2011,Wood Green,9826
Harchester United F.C.,2-2,02/04/2011,Barnstoneworth United,10752
Heroes F.C.,0-2,02/04/2011,Ashton Athletic,9532
Hounslow Harriers,1-1,16/04/2011,Ashton Athletic,10066
Heroes F.C.,0-0,16/04/2011,Barnstoneworth United,8747
Harchester United F.C.,2-1,16/04/2011,Wood Green,10472
Glipton Grasshoppers,3-1,16/04/2011,Millham Rovers,11559
Fulchester United,2-0,16/04/2011,Brentwich United,11186
F.C. Mordor,2-1,16/04/2011,Benidorm Thursday,11352
Earls Park F.C.,2-1,16/04/2011,Dedfield United,10376
Earls Park F.C.,0-3,23/04/2011,Hounslow Harriers,11624
Dedfield United,1-3,23/04/2011,F.C. Mordor,8741
Benidorm Thursday,0-2,23/04/2011,Fulchester United,7899
Brentwich United,1-3,23/04/2011,Glipton Grasshoppers,8205
Millham Rovers,1-1,23/04/2011,Harchester United F.C.,11572
Wood Green,3-2,23/04/2011,Heroes F.C.,10180
Barnstoneworth United,1-2,23/04/2011,Ashton Athletic,6035
Hounslow Harriers,2-1,30/04/2011,Barnstoneworth United,8588
Ashton Athletic,1-0,30/04/2011,Wood Green,11597
Heroes F.C.,0-2,30/04/2011,Millham Rovers,9003
Harchester United F.C.,2-1,30/04/2011,Brentwich United,7092
Glipton Grasshoppers,3-0,30/04/2011,Benidorm Thursday,6988
Fulchester United,0-0,30/04/2011,Dedfield United,8024
F.C. Mordor,2-2,30/04/2011,Earls Park F.C.,9638
F.C. Mordor,2-2,07/05/2011,Hounslow Harriers,10741
Earls Park F.C.,1-0,07/05/2011,Fulchester United,10513
Dedfield United,0-2,07/05/2011,Glipton Grasshoppers,8939
Benidorm Thursday,3-3,07/05/2011,Harchester United F.C.,10604
Brentwich United,0-3,07/05/2011,Heroes F.C.,9473
Millham Rovers,3-3,07/05/2011,Ashton Athletic,6474
Wood Green,3-3,07/05/2011,Barnstoneworth United,6606
Hounslow Harriers,3-2,14/05/2011,Wood Green,11126
Barnstoneworth United,1-2,14/05/2011,Millham Rovers,8415
Ashton Athletic,2-2,14/05/2011,Brentwich United,8921
Heroes F.C.,2-0,14/05/2011,Benidorm Thursday,9197
Harchester United F.C.,0-0,14/05/2011,Dedfield United,8085
Glipton Grasshoppers,2-0,14/05/2011,Earls Park F.C.,9865
Fulchester United,3-0,14/05/2011,F.C. Mordor,11523
Fulchester United,0-3,21/05/2011,Hounslow Harriers,7457
F.C. Mordor,2-2,21/05/2011,Glipton Grasshoppers,9023
Earls Park F.C.,1-2,21/05/2011,Harchester United F.C.,9044
Dedfield United,1-1,21/05/2011,Heroes F.C.,11764
Benidorm Thursday,3-1,21/05/2011,Ashton Athletic,10434
Brentwich United,1-2,21/05/2011,Barnstoneworth United,6962
Millham Rovers,1-2,21/05/2011,Wood Green,9882
Hounslow Harriers,2-0,28/05/2011,Millham Rovers,8903
Wood Green,0-2,28/05/2011,Brentwich United,9015
Barnstoneworth United,1-3,28/05/2011,Benidorm Thursday,10891
Ashton Athletic,3-3,28/05/2011,Dedfield United,7599
Heroes F.C.,1-2,28/05/2011,Earls Park F.C.,8525
Harchester United F.C.,2-1,28/05/2011,F.C. Mordor,9974
Glipton Grasshoppers,1-0,28/05/2011,Fulchester United,10509
Glipton Grasshoppers,0-3,04/06/2011,Hounslow Harriers,11097
Fulchester United,1-0,04/06/2011,Harchester United F.C.,10801
F.C. Mordor,2-3,04/06/2011,Heroes F.C.,11303
Earls Park F.C.,3-2,04/06/2011,Ashton Athletic,7344
Dedfield United,2-3,04/06/2011,Barnstoneworth United,10260
Benidorm Thursday,0-0,04/06/2011,Wood Green,7712
Brentwich United,1-2,04/06/2011,Millham Rovers,7366
Hounslow Harriers,2-1,11/06/2011,Brentwich United,7692
Millham Rovers,3-0,11/06/2011,Benidorm Thursday,11742
Wood Green,0-3,11/06/2011,Dedfield United,10293
Barnstoneworth United,0-0,11/06/2011,Earls Park F.C.,8878
Ashton Athletic,1-3,11/06/2011,F.C. Mordor,11271
Heroes F.C.,1-1,11/06/2011,Fulchester United,9240
Harchester United F.C.,1-1,11/06/2011,Glipton Grasshoppers,8424
Harchester United F.C.,2-1,18/06/2011,Hounslow Harriers,8206
Glipton Grasshoppers,0-0,18/06/2011,Heroes F.C.,9896
Fulchester United,3-3,18/06/2011,Ashton Athletic,10199
F.C. Mordor,3-3,18/06/2011,Barnstoneworth United,10465
Earls Park F.C.,2-3,18/06/2011,Wood Green,6299
Dedfield United,1-1,18/06/2011,Millham Rovers,6030
Benidorm Thursday,2-1,18/06/2011,Brentwich United,10743
Hounslow Harriers,1-1,25/06/2011,Benidorm Thursday,7992
Brentwich United,2-0,25/06/2011,Dedfield United,6350
Millham Rovers,3-0,25/06/2011,Earls Park F.C.,6277
Wood Green,3-2,25/06/2011,F.C. Mordor,7402
Barnstoneworth United,1-1,25/06/2011,Fulchester United,10748
Ashton Athletic,2-2,25/06/2011,Glipton Grasshoppers,8799
Heroes F.C.,1-3,25/06/2011,Harchester United F.C.,8365
Heroes F.C.,1-0,02/07/2011,Hounslow Harriers,11073
Harchester United F.C.,0-1,02/07/2011,Ashton Athletic,10662
Glipton Grasshoppers,2-2,02/07/2011,Barnstoneworth United,9645
Fulchester United,3-2,02/07/2011,Wood Green,8022
F.C. Mordor,2-3,02/07/2011,Millham Rovers,10391
Earls Park F.C.,3-2,02/07/2011,Brentwich United,8261
Dedfield United,0-0,02/07/2011,Benidorm Thursday,10680
Hounslow Harriers,1-2,09/07/2011,Dedfield United,7780
Benidorm Thursday,0-2,09/07/2011,Earls Park F.C.,7754
Brentwich United,1-3,09/07/2011,F.C. Mordor,9975
Millham Rovers,1-2,09/07/2011,Fulchester United,10731
Wood Green,1-2,09/07/2011,Glipton Grasshoppers,7155
Barnstoneworth United,1-3,09/07/2011,Harchester United F.C.,9012
Ashton Athletic,2-3,09/07/2011,Heroes F.C.,9404
Kronos United,2-2,08/01/2011,AFC Praxis,8267
Melchester Rovers,0-1,08/01/2011,Chulak Albion,10452
Neasden United F.C.,3-3,08/01/2011,FC Plonka,11083
Westwall United,3-1,08/01/2011,Walford Town,7266
Red Park City,2-0,08/01/2011,Weatherfield County,11939
Swift Boys,2-0,08/01/2011,Warbury Warriors,11511
Abydos F.C.,1-2,08/01/2011,Tolcaster F.C.,8856
AFC Praxis,2-3,15/01/2011,Tolcaster F.C.,6565
Warbury Warriors,2-1,15/01/2011,Abydos F.C.,7178
Weatherfield County,0-3,15/01/2011,Swift Boys,10417
Walford Town,2-2,15/01/2011,Red Park City,10393
FC Plonka,0-2,15/01/2011,Westwall United,10820
Chulak Albion,0-3,15/01/2011,Neasden United F.C.,7721
Kronos United,3-2,15/01/2011,Melchester Rovers,10416
Melchester Rovers,1-1,22/01/2011,AFC Praxis,7458
Neasden United F.C.,1-1,22/01/2011,Kronos United,8882
Westwall United,2-3,22/01/2011,Chulak Albion,8855
Red Park City,1-3,22/01/2011,FC Plonka,6242
Swift Boys,2-1,22/01/2011,Walford Town,8525
Abydos F.C.,1-2,22/01/2011,Weatherfield County,8346
Tolcaster F.C.,1-1,22/01/2011,Warbury Warriors,10111
AFC Praxis,0-1,29/01/2011,Warbury Warriors,6132
Weatherfield County,1-2,29/01/2011,Tolcaster F.C.,6101
Walford Town,3-1,29/01/2011,Abydos F.C.,10610
FC Plonka,3-3,29/01/2011,Swift Boys,10672
Chulak Albion,0-0,29/01/2011,Red Park City,10899
Kronos United,0-0,29/01/2011,Westwall United,10410
Melchester Rovers,0-2,29/01/2011,Neasden United F.C.,7145
Neasden United F.C.,1-3,05/02/2011,AFC Praxis,8325
Westwall United,3-3,05/02/2011,Melchester Rovers,9704
Red Park City,0-0,05/02/2011,Kronos United,10477
Swift Boys,0-3,05/02/2011,Chulak Albion,7045
Abydos F.C.,1-1,05/02/2011,FC Plonka,8479
Tolcaster F.C.,1-3,05/02/2011,Walford Town,6146
Warbury Warriors,2-3,05/02/2011,Weatherfield County,10593
AFC Praxis,0-3,12/02/2011,Weatherfield County,8964
Walford Town,2-1,12/02/2011,Warbury Warriors,11530
FC Plonka,2-1,12/02/2011,Tolcaster F.C.,8790
Chulak Albion,2-1,12/02/2011,Abydos F.C.,6364
Kronos United,1-2,12/02/2011,Swift Boys,9616
Melchester Rovers,1-1,12/02/2011,Red Park City,7172
Neasden United F.C.,2-2,12/02/2011,Westwall United,6226
Westwall United,2-3,19/02/2011,AFC Praxis,9214
Red Park City,1-0,19/02/2011,Neasden United F.C.,6022
Swift Boys,0-2,19/02/2011,Melchester Rovers,6661
Abydos F.C.,3-2,19/02/2011,Kronos United,11173
Tolcaster F.C.,3-3,19/02/2011,Chulak Albion,6985
Warbury Warriors,0-0,19/02/2011,FC Plonka,6524
Weatherfield County,1-3,19/02/2011,Walford Town,10172
AFC Praxis,0-2,26/02/2011,Walford Town,11349
FC Plonka,3-0,26/02/2011,Weatherfield County,8968
Chulak Albion,0-3,26/02/2011,Warbury Warriors,11049
Kronos United,2-0,26/02/2011,Tolcaster F.C.,11921
Melchester Rovers,1-1,26/02/2011,Abydos F.C.,6791
Neasden United F.C.,1-1,26/02/2011,Swift Boys,10548
Westwall United,0-1,26/02/2011,Red Park City,6536
Red Park City,1-1,05/03/2011,AFC Praxis,8939
Swift Boys,0-3,05/03/2011,Westwall United,8107
Abydos F.C.,0-0,05/03/2011,Neasden United F.C.,7525
Tolcaster F.C.,0-0,05/03/2011,Melchester Rovers,6855
Warbury Warriors,3-3,05/03/2011,Kronos United,9649
Weatherfield County,1-2,05/03/2011,Chulak Albion,6958
Walford Town,3-0,05/03/2011,FC Plonka,8781
AFC Praxis,0-0,12/03/2011,FC Plonka,7003
Chulak Albion,0-3,12/03/2011,Walford Town,11965
Kronos United,1-2,12/03/2011,Weatherfield County,10028
Melchester Rovers,0-0,12/03/2011,Warbury Warriors,8103
Neasden United F.C.,2-0,12/03/2011,Tolcaster F.C.,11915
Westwall United,2-2,12/03/2011,Abydos F.C.,9549
Red Park City,1-0,12/03/2011,Swift Boys,9164
Swift Boys,2-3,19/03/2011,AFC Praxis,7490
Abydos F.C.,2-2,19/03/2011,Red Park City,11502
Tolcaster F.C.,1-3,19/03/2011,Westwall United,8864
Warbury Warriors,1-1,19/03/2011,Neasden United F.C.,9239
Weatherfield County,0-1,19/03/2011,Melchester Rovers,11216
Walford Town,0-0,19/03/2011,Kronos United,8571
FC Plonka,0-0,19/03/2011,Chulak Albion,8986
AFC Praxis,0-3,26/03/2011,Chulak Albion,6306
Kronos United,1-3,26/03/2011,FC Plonka,10873
Melchester Rovers,0-0,26/03/2011,Walford Town,11941
Neasden United F.C.,2-3,26/03/2011,Weatherfield County,6458
Westwall United,3-2,26/03/2011,Warbury Warriors,10948
Red Park City,3-1,26/03/2011,Tolcaster F.C.,10924
Swift Boys,1-1,26/03/2011,Abydos F.C.,6041
Abydos F.C.,0-1,02/04/2011,AFC Praxis,6584
Tolcaster F.C.,2-3,02/04/2011,Swift Boys,11000
Warbury Warriors,0-0,02/04/2011,Red Park City,6761
Weatherfield County,3-0,02/04/2011,Westwall United,7008
Walford Town,2-0,02/04/2011,Neasden United F.C.,7867
FC Plonka,2-0,02/04/2011,Melchester Rovers,10389
Chulak Albion,1-0,02/04/2011,Kronos United,7377
AFC Praxis,3-1,16/04/2011,Kronos United,8159
Chulak Albion,0-0,16/04/2011,Melchester Rovers,6043
FC Plonka,0-3,16/04/2011,Neasden United F.C.,10527
Walford Town,2-3,16/04/2011,Westwall United,9551
Weatherfield County,3-1,16/04/2011,Red Park City,6924
Warbury Warriors,0-3,16/04/2011,Swift Boys,6401
Tolcaster F.C.,0-3,16/04/2011,Abydos F.C.,9735
Tolcaster F.C.,3-1,23/04/2011,AFC Praxis,6235
Abydos F.C.,2-2,23/04/2011,Warbury Warriors,7746
Swift Boys,1-2,23/04/2011,Weatherfield County,11991
Red Park City,2-0,23/04/2011,Walford Town,6715
Westwall United,0-2,23/04/2011,FC Plonka,11582
Neasden United F.C.,3-3,23/04/2011,Chulak Albion,10627
Melchester Rovers,2-2,23/04/2011,Kronos United,10816
AFC Praxis,0-3,30/04/2011,Melchester Rovers,7932
Kronos United,1-2,30/04/2011,Neasden United F.C.,7322
Chulak Albion,0-2,30/04/2011,Westwall United,8249
FC Plonka,3-0,30/04/2011,Red Park City,8822
Walford Town,0-2,30/04/2011,Swift Boys,9795
Weatherfield County,3-3,30/04/2011,Abydos F.C.,10175
Warbury Warriors,1-3,30/04/2011,Tolcaster F.C.,9249
Warbury Warriors,0-2,07/05/2011,AFC Praxis,10661
Tolcaster F.C.,0-2,07/05/2011,Weatherfield County,11564
Abydos F.C.,1-1,07/05/2011,Walford Town,11373
Swift Boys,0-1,07/05/2011,FC Plonka,7756
Red Park City,0-0,07/05/2011,Chulak Albion,11383
Westwall United,3-3,07/05/2011,Kronos United,7239
Neasden United F.C.,1-1,07/05/2011,Melchester Rovers,7781
AFC Praxis,0-2,14/05/2011,Neasden United F.C.,8019
Melchester Rovers,0-3,14/05/2011,Westwall United,6890
Kronos United,0-0,14/05/2011,Red Park City,6572
Chulak Albion,3-0,14/05/2011,Swift Boys,8299
FC Plonka,3-1,14/05/2011,Abydos F.C.,7982
Walford Town,3-3,14/05/2011,Tolcaster F.C.,7479
Weatherfield County,2-2,14/05/2011,Warbury Warriors,10720
Weatherfield County,3-2,21/05/2011,AFC Praxis,11403
Warbury Warriors,3-1,21/05/2011,Walford Town,6291
Tolcaster F.C.,2-2,21/05/2011,FC Plonka,8071
Abydos F.C.,3-1,21/05/2011,Chulak Albion,6487
Swift Boys,1-1,21/05/2011,Kronos United,10258
Red Park City,3-0,21/05/2011,Melchester Rovers,10866
Westwall United,2-0,21/05/2011,Neasden United F.C.,10376
AFC Praxis,3-2,28/05/2011,Westwall United,8701
Neasden United F.C.,1-0,28/05/2011,Red Park City,8748
Melchester Rovers,3-0,28/05/2011,Swift Boys,9584
Kronos United,1-1,28/05/2011,Abydos F.C.,7139
Chulak Albion,2-2,28/05/2011,Tolcaster F.C.,11109
FC Plonka,1-2,28/05/2011,Warbury Warriors,6825
Walford Town,2-2,28/05/2011,Weatherfield County,9524
Walford Town,0-3,04/06/2011,AFC Praxis,7151
Weatherfield County,1-1,04/06/2011,FC Plonka,7467
Warbury Warriors,3-2,04/06/2011,Chulak Albion,7261
Tolcaster F.C.,3-3,04/06/2011,Kronos United,8333
Abydos F.C.,2-1,04/06/2011,Melchester Rovers,9582
Swift Boys,2-2,04/06/2011,Neasden United F.C.,10870
Red Park City,3-0,04/06/2011,Westwall United,8781
AFC Praxis,3-2,11/06/2011,Red Park City,6885
Westwall United,1-0,11/06/2011,Swift Boys,8670
Neasden United F.C.,1-0,11/06/2011,Abydos F.C.,7391
Melchester Rovers,2-0,11/06/2011,Tolcaster F.C.,10168
Kronos United,0-3,11/06/2011,Warbury Warriors,9473
Chulak Albion,3-0,11/06/2011,Weatherfield County,9835
FC Plonka,2-2,11/06/2011,Walford Town,10101
FC Plonka,2-3,18/06/2011,AFC Praxis,7868
Walford Town,2-2,18/06/2011,Chulak Albion,10494
Weatherfield County,2-1,18/06/2011,Kronos United,9721
Warbury Warriors,0-3,18/06/2011,Melchester Rovers,8465
Tolcaster F.C.,2-1,18/06/2011,Neasden United F.C.,8967
Abydos F.C.,3-2,18/06/2011,Westwall United,9872
Swift Boys,0-0,18/06/2011,Red Park City,11676
AFC Praxis,3-0,25/06/2011,Swift Boys,10073
Red Park City,2-1,25/06/2011,Abydos F.C.,6599
Westwall United,1-1,25/06/2011,Tolcaster F.C.,9243
Neasden United F.C.,0-3,25/06/2011,Warbury Warriors,10282
Melchester Rovers,0-0,25/06/2011,Weatherfield County,8505
Kronos United,0-2,25/06/2011,Walford Town,8317
Chulak Albion,0-0,25/06/2011,FC Plonka,9223
Chulak Albion,3-3,02/07/2011,AFC Praxis,7456
FC Plonka,2-2,02/07/2011,Kronos United,8180
Walford Town,1-0,02/07/2011,Melchester Rovers,11669
Weatherfield County,1-3,02/07/2011,Neasden United F.C.,6260
Warbury Warriors,1-1,02/07/2011,Westwall United,11000
Tolcaster F.C.,1-2,02/07/2011,Red Park City,9954
Abydos F.C.,2-2,02/07/2011,Swift Boys,7415
AFC Praxis,0-3,09/07/2011,Abydos F.C.,8504
Swift Boys,2-2,09/07/2011,Tolcaster F.C.,6293
Red Park City,2-1,09/07/2011,Warbury Warriors,8830
Westwall United,2-3,09/07/2011,Weatherfield County,6441
Neasden United F.C.,1-0,09/07/2011,Walford Town,8464
Melchester Rovers,0-3,09/07/2011,FC Plonka,11860
Kronos United,1-0,09/07/2011,Chulak Albion,7596
